type,timestamp,price,quantity,cost,balance,revenue,profit,profit_pct
BUY,2025-07-16 10:28:00,694.22,0.0690793551088892,48.00422617359675,2.4760579355538397,,,
SELL,2025-07-16 10:35:00,693.99,0.0690793551088892,,50.36849920591984,47.892441270366,-0.015888251675045772,-0.033130707844778055
BUY,2025-07-16 10:55:00,693.56,0.06899197509317702,47.89792431986947,2.470574886050372,,,
SELL,2025-07-16 11:03:00,693.98,0.06899197509317702,,50.3017467103382,47.83117182428783,0.02897662953913937,0.060557125555117476
BUY,2025-07-16 11:08:00,694.21,0.06883602854297877,47.834446034196105,2.467300676142095,,,
SELL,2025-07-16 11:19:00,692.8,0.06883602854297877,,50.1092116501432,47.64191097400111,-0.09705880024560569,-0.2031085694530591
BUY,2025-07-16 11:34:00,693.13,0.06867939790174432,47.65135481870367,2.4578568314395284,,,
SELL,2025-07-16 12:03:00,694.81,0.06867939790174432,,50.12927015509439,47.67141332365486,0.11538138847492703,0.24237877454445053
BUY,2025-07-16 12:06:00,695.52,0.06847079400641198,47.67042945398699,2.4588407011073983,,,
SELL,2025-07-16 12:17:00,694.05,0.06847079400641198,,49.933473126677484,47.474632425570086,-0.10065206718942749,-0.21135265700483485
BUY,2025-07-16 12:34:00,694.54,0.06829959321326866,47.48423626981395,2.4492368568635356,,,
SELL,2025-07-16 12:51:00,693.77,0.06829959321326866,,49.786061431649365,47.33682457478583,-0.05259068677421563,-0.11086474501108386
BUY,2025-07-16 13:18:00,692.75,0.06827392040428279,47.344055118426965,2.4420063132224,,,
SELL,2025-07-16 13:28:00,691.88,0.06827392040428279,,49.63212900248826,47.19012268926586,-0.05939831075172634,-0.1255864308913756
BUY,2025-07-16 13:51:00,692.13,0.06812379546091608,47.1976730749162,2.43445592757206,,,
SELL,2025-07-16 14:16:00,692.0,0.06812379546091608,,49.52898072006703,47.09452479249497,-0.008856093409918782,-0.018782598644762612
BUY,2025-07-16 14:29:00,693.5,0.06784791879461237,47.09958421574774,2.4293965043192927,,,
SELL,2025-07-16 15:16:00,700.89,0.06784791879461237,,49.935770380471205,47.50637387615191,0.5013961198921845,1.0656092285508272
BUY,2025-07-16 15:35:00,698.91,0.06787566619657416,47.486420843309084,2.449349537162121,,,
SELL,2025-07-16 15:37:00,697.45,0.06787566619657416,,49.74189304257397,47.29254350541185,-0.09909847264699302,-0.2088967105921968
BUY,2025-07-16 15:50:00,700.66,0.06744326547889885,47.30205318883571,2.4398398537382633,,,
SELL,2025-07-16 16:09:00,699.63,0.06744326547889885,,49.577986348913264,47.138146495175,-0.06946656344326398,-0.14700425313275667
BUY,2025-07-16 16:20:00,700.72,0.06721527433420994,47.14618611849905,2.4318002304142112,,,
SELL,2025-07-16 16:42:00,700.91,0.06721527433420994,,49.49654630607171,47.064746075657496,0.012770902123495916,0.027114967462030605
BUY,2025-07-16 17:03:00,700.71,0.06710581979815917,47.06874070975888,2.4278055963128296,,,
SELL,2025-07-16 17:12:00,700.41,0.06710581979815917,,49.382391253896664,46.954585657583834,-0.02013174593945233,-0.04281371751510157
BUY,2025-07-16 17:22:00,701.8,0.06684706710060108,46.96018496289303,2.422206291003633,,,
SELL,2025-07-16 17:44:00,702.19,0.06684706710060108,,49.31460899632734,46.892402705323704,0.02607035616924111,0.055571387859803374
